0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,
,太太享物2026年1月 新盘 运营数据汇总（年后新增数据）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,月份,,2月,3月,4月,5月,6月,7月,8月,9月,1月
,,,,,待收金额,,-,-,-,-,2543906.5,3523407.6,3793199.8,4451635.4,2445443.6
,,,,,实际出资,,-,-,-,-,1797126.202,3008739.874,2655631.378,3697330,1026067.733246
,,,,,逾期金额,,-,-,-,-,0,0,0,790846.8,1895650.6
,,,,,利润金额,,-,-,-,-,746780.298,514667.726,1137568.422,-36541.3999999997,-476274.733246
,,,,,利润率,,-,-,-,-,0.293556503747288,0.146071015456741,0.29989678424005,-0.00820853387948161,-0.194760056312891
