0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,太太享物2026年1月 旧盘 运营数据汇总（含年后续约客户）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,月份,,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,1月
,待收金额,,4333534.01,7062817.89,9460608.77,10310509.59,10187510.09,9436472,9804966.54,9405181.74,9107277.51,7719908.11,6630014.35,5855315.49,7386694.23,7838192.92,8539752.76,8536696.26,7731049,6320381.4
,实际出资,,2270179.61,3614894.48,4802256.23,4843545.74,4001790.47,2962731.37,2461463.51,2487230.61,1364884.58,41221.72,-805096.4,-1823270.9,-1073756.65,-479128,-873673.7014,-660435.065,-2080831,-3244160.66064652
,逾期金额,,164727.99,247027.79,655892.89,1016656.02,1142306.89,1381899.76,1437090.09,1838192.59,2074889.43,3155408.59,3615068.43,3615068.43,3474639.91,3915761.79,4107004.82,4107004.82,4127999.52,6237586.4
,利润金额,,1898626.41,3200895.62,4002459.65,4450307.83,5043412.73,5091840.87,5906412.94,5079758.54,5667503.5,4523277.8,3820042.32,4063517.96,4985810.97,4401559.13,5306421.6414,5090126.505,5683880.48,3326955.66064652
,利润率,,0.438124266619059,0.453203759441687,0.42306576112649,0.431628310041657,0.495058427961763,0.539591583591834,0.602389912898163,0.540102113965105,0.622304908769602,0.585923787634307,0.576174065143615,0.693987875963281,0.674971890639637,0.561552793472197,0.621378837365779,0.596264216269538,0.735201714540938,0.526385268560932
